title,author,year,country,read
1984,George Orwell,1949,,Yes
Brave New World,Aldous Huxley,1932,,Yes
Childhood's End,Arthur C. Clarke,1953,,
Dune,Frank Herbert,1965,,
Flanagan's Run,Tom McNab,1982,,
Foundation,Isaac Asimov,1951,,
Once a Runner,John L. Parker Jr.,1978,,Yes
Racing the Rain,John L. Parker Jr.,2015,,Yes
The Bolt Velocity,Victor Price,1972,,
The Fast Men,Tom McNab,1986,,
The Front Runner,Patricia Nell Warren,1974,,
The Left Hand of Darkness,Ursula K. Le Guin,1969,,
The Loneliness of the Long-Distance Runner,Alan Sillitoe,1959,,
The Moon Is a Harsh Mistress,Robert A. Heinlein,1966,,
The Rider,Tim Krabbé,1978,,
Twenty Thousand Leagues Under the Sea,Jules Verne,1870,,
1916,Morgan Llywelyn,,,Yes
2666,Roberto Bolaño,2004,Chile/Mexico,
A Farewell to Arms,Ernest Hemingway,1929,,Yes
A Grain of Wheat,Ngũgĩ wa Thiong'o,1967,Kenya,
A Sister to Scheherazade,Assia Djebar,1987,Algeria,
"Absalom, Absalom!",William Faulkner,1936,,
Adventures of Huckleberry Finn,Mark Twain,1884,,Yes
Again to Carthage,John L. Parker Jr.,2007,,Yes
All the King's Men,Robert Penn Warren,1946,,
An American Tragedy,Theodore Dreiser,1925,,
Ancillary Justice,Ann Leckie,2013,,
Anna Karenina,Leo Tolstoy,1877,Russia,
Annihilation,Jeff VanderMeer,2014,,
Arrow of God,Chinua Achebe,1964,Nigeria,
As I Lay Dying,William Faulkner,1930,,
Beloved,Toni Morrison,1987,,
Berlin Alexanderplatz,Alfred Döblin,1929,Germany,
Blindness,José Saramago,1995,Portugal,
Blood Meridian,Cormac McCarthy,1985,,
Buddenbrooks,Thomas Mann,1901,Germany,
By Night in Chile,Roberto Bolaño,2000,Chile,
Candide,Voltaire,1759,France,
Catch-22,Joseph Heller,1961,,partial
Children of Time,Adrian Tchaikovsky,2015,,
Convenience Store Woman,Sayaka Murata,2016,Japan,
Conversation in the Cathedral,Mario Vargas Llosa,1969,Peru,
Crime and Punishment,Fyodor Dostoevsky,1866,Russia,Yes
David Copperfield,Charles Dickens,1850,England,
Dead Souls,Nikolai Gogol,1842,Russia,
Disgrace,J.M. Coetzee,1999,South Africa,
Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,,
Dom Casmurro,Machado de Assis,1899,Brazil,
Don Quixote,Miguel de Cervantes,1605,Spain,Partial
Doña Bárbara,Rómulo Gallegos,1929,Venezuela,
Dracula,Bram Stoker,1897,Ireland/England,
Dream of the Red Chamber,Cao Xueqin,1791,China,
East of Eden,John Steinbeck,1952,,Yes
El Señor Presidente,Miguel Ángel Asturias,1946,Guatemala,
Everything is Beautiful and Everything Hurts,Josie Shapiro,2023,,
Fahrenheit 451,Ray Bradbury,1953,,Yes
Fathers and Sons,Ivan Turgenev,1862,Russia,
Fever Dream,Samanta Schweblin,2014,Argentina,
Ficciones,Jorge Luis Borges,1944,Argentina,
Flowers for Algernon,Daniel Keyes,1966,,Yes
Frankenstein,Mary Shelley,1818,England,
Go Tell It on the Mountain,James Baldwin,1953,,
God's Bits of Wood,Ousmane Sembène,1960,Senegal,
Gone with the Wind,Margaret Mitchell,1936,,
Gravity's Rainbow,Thomas Pynchon,1973,,
Gulliver's Travels,Jonathan Swift,1726,Ireland,
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,Nigeria,
Homegoing,Yaa Gyasi,2016,Ghana/USA,
Hopscotch,Julio Cortázar,1963,Argentina,
Houseboy,Ferdinand Oyono,1962,Cameroon,
Housekeeping,Marilynne Robinson,1980,,
Hyperion,Dan Simmons,1989,,
"I, the Supreme",Augusto Roa Bastos,1974,Paraguay,
In Search of Lost Time,Marcel Proust,1913,France,
In the Time of the Butterflies,Julia Alvarez,1994,Dominican Republic,
Invisible Man,Ralph Ellison,1952,,
Jane Eyre,Charlotte Brontë,1847,England,
Journey to the West,Wu Cheng'en,1592,China,
Kafka on the Shore,Haruki Murakami,2002,Japan,
Kindred,Octavia Butler,1979,,
Kiss of the Spider Woman,Manuel Puig,1976,Argentina,
Le Père Goriot,Honoré de Balzac,1835,France,
Les Misérables,Victor Hugo,1862,France,
Like Water for Chocolate,Laura Esquivel,1989,Mexico,
Little Women,Louisa May Alcott,1868,,
Lolita,Vladimir Nabokov,1955,,Yes
Lonesome Dove,Larry McMurtry,1985,,
Love in the Time of Cholera,Gabriel García Márquez,1985,Colombia,
Madame Bovary,Gustave Flaubert,1856,France,
Middlemarch,George Eliot,1871,England,
Midnight's Children,Salman Rushdie,1981,India,
Moby-Dick,Herman Melville,1851,,Tried
Molloy,Samuel Beckett,1951,Ireland,
My Ántonia,Willa Cather,1918,,
My Brilliant Friend,Elena Ferrante,2011,Italy,
My Name Is Red,Orhan Pamuk,1998,Turkey,
Native Son,Richard Wright,1940,,Yes
Nervous Conditions,Tsitsi Dangarembga,1988,Zimbabwe,
Neuromancer,William Gibson,1984,,
Nineteen Eighty-Four,George Orwell,1949,England,Yes
No Longer Human,Osamu Dazai,1948,Japan,
On the Road,Jack Kerouac,1957,,Yes
One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombia,
Pachinko,Min Jin Lee,2017,South Korea/USA,
Pedro Páramo,Juan Rulfo,1955,Mexico,
Please Look After Mom,Shin Kyung-sook,2008,South Korea,
Pride and Prejudice,Jane Austen,1813,England,
Purple Hibiscus,Chimamanda Ngozi Adichie,2003,Nigeria,
"Rabbit, Run",John Updike,1960,,
Robinson Crusoe,Daniel Defoe,1719,England,
Romance of the Three Kingdoms,Luo Guanzhong,1522,China,
Runner 13,Amy McCulloch,2025,,
Running the Rift,Naomi Benaron,2012,,
Season of Migration to the North,Tayeb Salih,1969,Sudan,
Shantaram,Gregory David Roberts,,,
Signs Preceding the End of the World,Yuri Herrera,2009,Mexico,
Sister Carrie,Theodore Dreiser,1900,,
Slaughterhouse-Five,Kurt Vonnegut,1969,,
Sleepwalking Land,Mia Couto,1992,Mozambique,
Snow Country,Yasunari Kawabata,1937,Japan,
Snow Crash,Neal Stephenson,1992,,
So Long a Letter,Mariama Bâ,1979,Senegal,
Song of Solomon,Toni Morrison,1977,,
Station Eleven,Emily St. John Mandel,2014,,
Tender Is the Flesh,Agustina Bazterrica,2017,Argentina,
Tess of the d'Urbervilles,Thomas Hardy,1891,England,
The Adventures of Augie March,Saul Bellow,1953,,
The Age of Innocence,Edith Wharton,1920,,
