day,primary_city,secondary_city
1,"New York, NY","Philadelphia, PA"
2,"Los Angeles, CA","Fargo, ND"
3,"Chicago, IL","Boise, ID"
4,"Dallas, TX","Boulder, CO"
5,"Houston, TX","Wilmington, DE"
6,"Washington, DC","Clearwater, FL"
7,"Atlanta, GA","Savannah, GA"
8,"Miami-Fort Lauderdale, FL","Charleston, SC"
9,"Philadelphia, PA","Wilmington, NC"
10,"Phoenix-Mesa, AZ","Sunset Beach, NC"
11,"Cleveland, OH","Columbia, SC"
12,"Seattle, WA","Fayetteville, AR"
13,"San Francisco-Oakland, CA","Juneau, AK"
14,"Detroit, MI","Honolulu, HI"
15,"Minneapolis-St. Paul, MN","Billings, MT"
16,"San Diego, CA","Philadelphia, PA"
17,"Tampa-St. Petersburg, FL","New Orleans, LA"
18,"Denver, CO","Salt Lake City, UT"
19,"Orlando, FL","Phoenixville, PA"
20,"Charlotte, NC","Malvern, PA"
21,"Baltimore, MD","Wooster, OH"
22,"St. Louis, MO","Jackson, MS"
23,"Boston, MA","Oklahoma City, OK"
24,"Nashville, TN","Portland, OR"
25,"Indianapolis, IN","Philadelphia, PA"
26,"San Antonio, TX","Memphis, TN"
27,"Richmond, VA","Las Vegas, NV"
28,"Austin, TX","Long Beach Island, NJ"
29,"Pittsburgh, PA","Ocean City, MD"
30,"Columbus, OH","Boone, NC"
31,"Jacksonville, FL","Artesia, NM"
