player,college,position,sport
Ben Tarpey,College of Wooster,P,Baseball
Sam Schaeffer,Haverford College,Inf,Baseball
Miles Newsome,Brown University,Inf,Baseball
Logan Lowe,UNC-Asheville,Inf,Baseball
Caiden Chilausky,UNC-Asheville,OF,Baseball
Jack Brodeur,Queens University,P,Baseball
Jack Goldstein,Rhodes College,P,Baseball
Amare Burrus,Columbia University,Inf,Baseball
Emmett Christian,Tufts College,P,Baseball
Miller Young,Vassar College,,Baseball
Carter Liverman,Ferrum College,P,Baseball
Gabriel Ferrell,Montreat College,Inf,Baseball
Ian Bailey,UNC-Asheville,OF,Baseball
Jack Bolte,Kenyon College,IB,Baseball
Colin Leslie,University of Delaware,P,Baseball
Jackson Niedel,Kenyon College,P,Baseball
Sean Donahue,Case Western Reserve University,C,Baseball
Ethan Goldstein,Haverford College,P,Baseball
Ben Jones,Lynchburg College,IF,Baseball
Logan Sawyer,Brevard College,Inf,Baseball
JJ Thornburg,Rose Hulman College,Inf,Softball
Paisley Russell,UNC Greensboro,P,Softball
Grace Arrington,Methodist University,P,Softball
