day,country,population,continent
1,Canada,~38M,North America
2,Argentina,~46M,South America
3,United Kingdom,~68M,Europe
4,China,~1.41B,Asia
5,Egypt,~106M,Africa
6,Venezuela,~29M,South America
7,Spain,~48M,Europe
8,Mexico,~130M,North America
9,India,~1.44B,Asia
10,Brazil,~215M,South America
11,Finland,~6M,Europe
12,Israel,~7M,Asia
13,Kenya,~56M,Africa
14,Iran,~90M,Asia
15,Panama,~4M,North America
16,Japan,~124M,Asia
17,France,~68M,Europe
18,Vietnam,~98M,Asia
19,Nigeria,~225M,Africa
19,South Africa,~61M,Africa
20,Ukraine,~44M (pre-war estimate),Europe
20,Turkey,~86M,Asia
21,Saudi Arabia,~37M,Asia
21,Russia,~144M (transcontinental; European portion listed here),Europe
22,Cuba,~12M,North America
22,Uzbekistan,~36M,Asia
23,Colombia,~52M,South America
24,Chile,~19M,South America
25,Ethiopia,~128M,Africa
26,Iraq,~43M,Asia
27,Germany,~84M,Europe
28,South Korea,~52M,Asia
29,Australia,~26M,Oceania
30,Peru,~33M,South America
31,Iceland,~0.37M,Europe
