player,team,position
Seranthony Dominguez,White Sox,P
Austin Hays,White Sox,
Rhys Hoskins,Guardians,
Mickey Moniak,Rockies,
Matt Strahm,Royals,P
Jordan Romano,Angels,P
Mick Abel,Twins,P
Kody Clemens,Twins,
Nick Pivetta,Padres,P
Walker Buehler,Padres,P
Nick Castellanos,Padres,
Harrison Bader,Giants,
Andrew McCutchen,Rangers,
Jeff Hoffman,Blue Jays,P
J.P. Crawford,Mariners,
Zach Eflin,Orioles,P
Ranger Suarez,Red Sox,P
Scott Kingery,Cubs,
Braden Montgomery,,OF
Jace LaViolette,,OF
Kaeden Kent,,INF
Ryan Prager,,P
Camden Lohman,Mets,P
Andrew Painter,,P
Jordan Lawlar,,OF
