person,profession
Jerry Saltz,Artist
John Grisham,Author
Michael Lewis,Author
Frederik Backman,Author
Sally Rooney,Author
Lee Child,Author
Mark Bowden,Author
Chuck Klosterman,Author
Tana French,Author
Ben Mezrich,Author
Malcolm Gladwell,Author
Colm Tóibín,Author
Thomas Friedman,Author
Paige Bueckers,Basketball
Robert Sapolsky,Biologist / Author
Patrick Collison,CEO
Magnus Carlsen,Chess Player
Tyler Cowen,Economist / Podcaster
Arnold Kling,Economist / Writer
Pope Leo,Leader
Gretchen McCulloch,Linguist / Author
David Crystal,Linguist / Author
Max Tegmark,Physicist / AI Safety Researcher
Nate Silver,Podcaster
Ethan Mollick,Professor / AI Researcher
Scott Galloway,Professor / Podcaster
Montana Fouts,Softball Player
Jay Wright,Basketball Coach
