type,destination
US,"Asheville, North Carolina"
US,"Greenville, South Carolina"
US,"The Villages, Florida"
US,"Sarasota, Florida"
US,"Hilton Head Island, South Carolina"
US,"Boise, Idaho"
US,"Scottsdale, Arizona"
US,"Naples, Florida"
US,"Charleston, South Carolina"
US,"Santa Fe, New Mexico"
US,"Prescott, Arizona"
US,"Georgetown, Texas"
US,"Chattanooga, Tennessee"
US,"Wilmington, North Carolina"
US,"Fort Myers, Florida"
US,"Tucson, Arizona"
US,"Bend, Oregon"
US,"Coeur d'Alene, Idaho"
US,"Traverse City, Michigan"
US,"Williamsburg, Virginia"
INTL,"Galway, Ireland"
INTL,"Algarve (Lagos), Portugal"
INTL,"San Miguel de Allende, Mexico"
INTL,"Cuenca, Ecuador"
INTL,"Boquete, Panama"
INTL,"Valencia, Spain"
INTL,"Chiang Mai, Thailand"
INTL,"Medellin, Colombia"
INTL,"Ambergris Caye, Belize"
INTL,"Dordogne, France"
INTL,"Sliema/Valletta, Malta"
INTL,"Punta del Este, Uruguay"
