team,max_articles,group,season
Philadelphia Phillies,5,Primary,Feb-Nov
Philadelphia Eagles,5,Primary,Aug-Feb
Villanova Wildcats Basketball,5,Primary,Oct-Mar
Philadelphia Flyers,3,Primary,Sep-Jun
Philadelphia 76ers,3,Primary,Sep-Jun
Carolina Hurricanes,3,Primary,Sep-Jun
Carolina Blaze,3,Secondary,Jun-Oct
Texas A&M Baseball,3,Secondary,Feb-Jun
Texas A&M Softball,3,Secondary,Feb-Jun
Texas A&M Football,3,Secondary,Sep-Jan
College of Wooster Baseball,3,Secondary,Feb-Jun
Penn State Football,3,Secondary,Sep-Jan
Villanova Football,3,Secondary,Sep-Jan
Virginia Cavaliers Baseball,3,Secondary,Feb-Jun
Villanova Wildcats Baseball,3,Secondary,Feb-Jun
Carolina Panthers,3,Secondary,Aug-Feb
New York Giants,2,Tertiary,Aug-Feb
Washington Commanders,2,Tertiary,Aug-Feb
Dallas Cowboys,2,Tertiary,Aug-Feb
Atlanta Braves,2,Tertiary,Feb-Nov
New York Mets,2,Tertiary,Feb-Nov
Los Angeles Dodgers,2,Tertiary,Feb-Nov
St Louis Cardinals,2,Tertiary,Feb-Nov
Charlotte Hornets,2,Tertiary,Sep-Jun
New York Knicks,2,Tertiary,Sep-Jun
Boston Celtics,2,Tertiary,Sep-Jun
